shot_group,shot,time,time_from_group_lead,Year,Month,Day,Hour,Minute,Second,Source Location
P1,1,2025-06-14 14:00:18.885000,0.0,2025,6,14,14,0,18.8850000000075,1
P1,2,2025-06-14 14:00:49.285000,30.4,2025,6,14,14,0,49.2850000000298,1
P1,3,2025-06-14 14:01:01.982000,43.097,2025,6,14,14,1,1.98199999996275,1
P1,4,2025-06-14 14:01:16.579000,57.694,2025,6,14,14,1,16.5790000000298,1
P1,5,2025-06-14 14:01:25.298000,66.413,2025,6,14,14,1,25.2979999999553,1
P1,6,2025-06-14 14:01:35.507000,76.622,2025,6,14,14,1,35.5069999999851,1
P2,7,2025-06-14 14:07:27.445000,0.0,2025,6,14,14,7,27.4449999999478,2
P2,8,2025-06-14 14:07:33.955000,6.51,2025,6,14,14,7,33.9549999999553,2
P2,9,2025-06-14 14:07:37.732000,10.287,2025,6,14,14,7,37.7319999999627,2
P2,10,2025-06-14 14:07:57.521000,30.076,2025,6,14,14,7,57.5209999999479,2
P2,11,2025-06-14 14:08:02.051000,34.606,2025,6,14,14,8,2.05099999997765,2
P2,12,2025-06-14 14:08:06.710000,39.265,2025,6,14,14,8,6.70999999996275,2
P3,13,2025-06-14 14:09:28.793000,0.0,2025,6,14,14,9,28.7929999999478,3
P3,14,2025-06-14 14:09:33.489000,4.696,2025,6,14,14,9,33.4889999999404,3
P3,15,2025-06-14 14:09:40.390000,11.597,2025,6,14,14,9,40.3900000000149,3
P3,16,2025-06-14 14:09:44.471000,15.678,2025,6,14,14,9,44.4710000000224,3
P3,17,2025-06-14 14:09:48.226000,19.433,2025,6,14,14,9,48.2260000000224,3
P3,18,2025-06-14 14:09:56.408000,27.615,2025,6,14,14,9,56.4080000000522,3
P4,19,2025-06-14 14:10:46.475000,0.0,2025,6,14,14,10,46.4749999999777,4
P4,20,2025-06-14 14:11:06.513000,20.038,2025,6,14,14,11,6.51300000003725,4
P4,21,2025-06-14 14:11:10.098000,23.623,2025,6,14,14,11,10.098,4
P4,22,2025-06-14 14:11:17.438000,30.963,2025,6,14,14,11,17.4379999999628,4
P4,23,2025-06-14 14:11:24.087000,37.612,2025,6,14,14,11,24.0870000000596,4
P4,24,2025-06-14 14:11:28.043000,41.568,2025,6,14,14,11,28.0429999999478,4
P5,25,2025-06-14 14:11:59.200000,0.0,2025,6,14,14,11,59.1999999999553,5
P5,26,2025-06-14 14:12:09.756000,10.556,2025,6,14,14,12,9.75600000005215,5
P5,27,2025-06-14 14:12:16.325000,17.125,2025,6,14,14,12,16.3249999999553,5
P5,28,2025-06-14 14:12:23.419000,24.219,2025,6,14,14,12,23.4189999999926,5
P5,29,2025-06-14 14:12:38.734000,39.534,2025,6,14,14,12,38.7340000000522,5
P5,30,2025-06-14 14:12:45.087000,45.887,2025,6,14,14,12,45.0870000000596,5
P6,31,2025-06-14 14:13:22.291000,0.0,2025,6,14,14,13,22.2909999999702,6
P6,32,2025-06-14 14:13:26.498000,4.207,2025,6,14,14,13,26.4980000000224,6
P6,33,2025-06-14 14:13:30.306000,8.015,2025,6,14,14,13,30.3059999999851,6
P6,34,2025-06-14 14:13:37.720000,15.429,2025,6,14,14,13,37.7199999999702,6
P6,35,2025-06-14 14:13:41.698000,19.407,2025,6,14,14,13,41.6979999999777,6
P6,36,2025-06-14 14:13:45.678000,23.387,2025,6,14,14,13,45.6779999999553,6
P7,37,2025-06-14 14:14:20.566000,0.0,2025,6,14,14,14,20.5659999999926,7
P7,38,2025-06-14 14:14:24.227000,3.661,2025,6,14,14,14,24.2269999999553,7
P7,39,2025-06-14 14:14:28.007000,7.441,2025,6,14,14,14,28.0069999999851,7
P7,40,2025-06-14 14:14:31.722000,11.156,2025,6,14,14,14,31.7219999999478,7
P7,41,2025-06-14 14:14:35.048000,14.482,2025,6,14,14,14,35.0479999999553,7
P7,42,2025-06-14 14:14:42.377000,21.811,2025,6,14,14,14,42.3769999999777,7
P8,43,2025-06-14 14:15:11.564000,0.0,2025,6,14,14,15,11.5640000000149,8
P8,44,2025-06-14 14:15:24.356000,12.792,2025,6,14,14,15,24.3560000000298,8
P8,45,2025-06-14 14:15:28.653000,17.089,2025,6,14,14,15,28.6530000000522,8
P8,46,2025-06-14 14:15:32.756000,21.192,2025,6,14,14,15,32.7560000000522,8
P8,47,2025-06-14 14:15:36.510000,24.946,2025,6,14,14,15,36.5100000000075,8
P8,48,2025-06-14 14:15:40.676000,29.112,2025,6,14,14,15,40.6759999999777,8
P9,49,2025-06-14 14:16:11.181000,0.0,2025,6,14,14,16,11.1809999999851,9
P9,50,2025-06-14 14:16:23.448000,12.267,2025,6,14,14,16,23.4479999999776,9
P9,51,2025-06-14 14:16:31.424000,20.243,2025,6,14,14,16,31.424,9
P9,52,2025-06-14 14:16:35.450000,24.269,2025,6,14,14,16,35.4499999999553,9
P9,53,2025-06-14 14:16:39.343000,28.162,2025,6,14,14,16,39.3429999999926,9
