shot_group,shot,time,time_from_group_lead,year,month,day,hour,minute,second,latitude,longitude
S1_S,1,2025-06-18 15:47:43.450,0.0,2025,6,18,15,47,43.45,27.29545,-97.37113
S1_S,2,2025-06-18 15:47:48.710,5.26,2025,6,18,15,47,48.71,27.29545,-97.37113
S1_S,3,2025-06-18 15:47:55.490,12.04,2025,6,18,15,47,55.49,27.29546,-97.37113
S1_S,4,2025-06-18 15:47:59.650,16.2,2025,6,18,15,47,59.65,27.29546,-97.37113
S1_S,5,2025-06-18 15:48:02.470,19.02,2025,6,18,15,48,2.47,27.29546,-97.37113
S1_S,6,2025-06-18 15:48:07.470,24.02,2025,6,18,15,48,7.47,27.29546,-97.37113
S1_N,7,2025-06-18 15:48:40.880,0.0,2025,6,18,15,48,40.88,27.29545,-97.37111
S1_N,8,2025-06-18 15:48:45.350,4.47,2025,6,18,15,48,45.35,27.29545,-97.37111
S1_N,9,2025-06-18 15:48:49.300,8.42,2025,6,18,15,48,49.3,27.29545,-97.37111
S1_N,10,2025-06-18 15:48:53.720,12.84,2025,6,18,15,48,53.72,27.29545,-97.37111
S1_N,11,2025-06-18 15:48:57.670,16.79,2025,6,18,15,48,57.67,27.29545,-97.3711
S1_N,12,2025-06-18 15:49:02.210,21.33,2025,6,18,15,49,2.21,27.29545,-97.3711
S2_S,13,2025-06-18 15:50:07.710,0.0,2025,6,18,15,50,7.71,27.29545,-97.37109
S2_S,14,2025-06-18 15:50:12.880,5.17,2025,6,18,15,50,12.88,27.29545,-97.37109
S2_S,15,2025-06-18 15:50:17.290,9.58,2025,6,18,15,50,17.29,27.29545,-97.37109
S2_S,16,2025-06-18 15:50:21.820,14.11,2025,6,18,15,50,21.82,27.29545,-97.37109
S2_S,17,2025-06-18 15:50:25.480,17.77,2025,6,18,15,50,25.48,27.29545,-97.37109
S2_S,18,2025-06-18 15:50:29.630,21.92,2025,6,18,15,50,29.63,27.29545,-97.37109
S2_N,19,2025-06-18 15:51:06.080,0.0,2025,6,18,15,51,6.08,27.29545,-97.37107
S2_N,20,2025-06-18 15:51:10.380,4.3,2025,6,18,15,51,10.38,27.29545,-97.37107
S2_N,21,2025-06-18 15:51:13.730,7.65,2025,6,18,15,51,13.73,27.29545,-97.37107
S2_N,22,2025-06-18 15:51:17.610,11.53,2025,6,18,15,51,17.61,27.29545,-97.37107
S2_N,23,2025-06-18 15:51:25.660,19.58,2025,6,18,15,51,25.66,27.29546,-97.37107
S2_N,24,2025-06-18 15:51:29.230,23.15,2025,6,18,15,51,29.23,27.29546,-97.37107
S3_S,25,2025-06-18 15:53:52.030,0.0,2025,6,18,15,53,52.03,27.29546,-97.37104
S3_S,26,2025-06-18 15:53:59.370,7.34,2025,6,18,15,53,59.37,27.29546,-97.37105
S3_S,27,2025-06-18 15:54:02.730,10.7,2025,6,18,15,54,2.73,27.29546,-97.37105
S3_S,28,2025-06-18 15:54:06.830,14.8,2025,6,18,15,54,6.83,27.29546,-97.37105
S3_S,29,2025-06-18 15:54:10.790,18.76,2025,6,18,15,54,10.79,27.29546,-97.37105
S3_S,30,2025-06-18 15:54:19.260,27.23,2025,6,18,15,54,19.26,27.29545,-97.37106
S3_N,31,2025-06-18 15:54:55.850,0.0,2025,6,18,15,54,55.85,27.29545,-97.37105
S3_N,32,2025-06-18 15:55:00.100,4.25,2025,6,18,15,55,0.1,27.29545,-97.37105
S3_N,33,2025-06-18 15:55:05.260,9.41,2025,6,18,15,55,5.26,27.29545,-97.37105
S3_N,34,2025-06-18 15:55:10.470,14.62,2025,6,18,15,55,10.47,27.29545,-97.37105
S3_N,35,2025-06-18 15:55:14.330,18.48,2025,6,18,15,55,14.33,27.29545,-97.37105
S3_N,36,2025-06-18 15:55:19.890,24.04,2025,6,18,15,55,19.89,27.29545,-97.37104
S4_S,37,2025-06-18 15:56:50.830,0.0,2025,6,18,15,56,50.83,27.29546,-97.37104
S4_S,38,2025-06-18 15:56:54.860,4.03,2025,6,18,15,56,54.86,27.29546,-97.37104
S4_S,39,2025-06-18 15:56:59.470,8.64,2025,6,18,15,56,59.47,27.29546,-97.37104
S4_S,40,2025-06-18 15:57:03.280,12.45,2025,6,18,15,57,3.28,27.29546,-97.37104
S4_S,41,2025-06-18 15:57:06.950,16.12,2025,6,18,15,57,6.95,27.29546,-97.37104
S4_S,42,2025-06-18 15:57:10.260,19.43,2025,6,18,15,57,10.26,27.29546,-97.37104
S4_N,43,2025-06-18 15:57:43.960,0.0,2025,6,18,15,57,43.96,27.29546,-97.37103
S4_N,44,2025-06-18 15:57:48.610,4.65,2025,6,18,15,57,48.61,27.29546,-97.37103
S4_N,45,2025-06-18 15:57:51.880,7.92,2025,6,18,15,57,51.88,27.29546,-97.37102
S4_N,46,2025-06-18 15:57:55.530,11.57,2025,6,18,15,57,55.53,27.29546,-97.37102
S4_N,47,2025-06-18 15:58:00.560,16.6,2025,6,18,15,58,0.56,27.29546,-97.37102
S4_N,48,2025-06-18 15:58:04.440,20.48,2025,6,18,15,58,4.44,27.29546,-97.37102
S5_S,49,2025-06-18 15:59:56.000,0.0,2025,6,18,15,59,56.0,27.29547,-97.37099
S5_S,50,2025-06-18 15:59:59.550,3.55,2025,6,18,15,59,59.55,27.29547,-97.37099
S5_S,51,2025-06-18 16:00:03.590,7.59,2025,6,18,16,0,3.59,27.29547,-97.37099
S5_S,52,2025-06-18 16:00:07.250,11.25,2025,6,18,16,0,7.25,27.29547,-97.37099
S5_S,53,2025-06-18 16:00:12.070,16.07,2025,6,18,16,0,12.07,27.29547,-97.37099
S5_S,54,2025-06-18 16:00:15.780,19.78,2025,6,18,16,0,15.78,27.29547,-97.37099
S5_N,55,2025-06-18 16:00:42.930,0.0,2025,6,18,16,0,42.93,27.29547,-97.37099
S5_N,56,2025-06-18 16:00:47.570,4.64,2025,6,18,16,0,47.57,27.29547,-97.37099
S5_N,57,2025-06-18 16:00:50.630,7.7,2025,6,18,16,0,50.63,27.29547,-97.37099
S5_N,58,2025-06-18 16:00:54.820,11.89,2025,6,18,16,0,54.82,27.29547,-97.37098
S5_N,59,2025-06-18 16:00:58.330,15.4,2025,6,18,16,0,58.33,27.29547,-97.37098
S5_N,60,2025-06-18 16:01:02.070,19.14,2025,6,18,16,1,2.07,27.29547,-97.37098
S6_S,61,2025-06-18 16:02:04.090,0.0,2025,6,18,16,2,4.09,27.29546,-97.37097
S6_S,62,2025-06-18 16:02:07.890,3.8,2025,6,18,16,2,7.89,27.29546,-97.37097
