shot_group,shot,time,time_from_group_lead,year,month,day,hour,minute,second,latitude,longitude
P1,1,2025-06-14 14:00:19.280,0.0,2025,6,14,14,0,19.28,27.63189,-97.20664
P1,2,2025-06-14 14:00:49.350,30.07,2025,6,14,14,0,49.35,27.63189,-97.20664
P1,3,2025-06-14 14:01:02.530,43.25,2025,6,14,14,1,2.53,27.63189,-97.20664
P1,4,2025-06-14 14:01:17.340,58.06,2025,6,14,14,1,17.34,27.63189,-97.20664
P1,5,2025-06-14 14:01:25.420,66.14,2025,6,14,14,1,25.42,27.63189,-97.20665
P1,6,2025-06-14 14:01:35.730,76.45,2025,6,14,14,1,35.73,27.63189,-97.20665
P2,7,2025-06-14 14:07:27.580,0.0,2025,6,14,14,7,27.58,27.63192,-97.20667
P2,8,2025-06-14 14:07:34.020,6.44,2025,6,14,14,7,34.02,27.63192,-97.20667
P2,9,2025-06-14 14:07:38.600,11.02,2025,6,14,14,7,38.6,27.63192,-97.20667
P2,10,2025-06-14 14:07:58.500,30.92,2025,6,14,14,7,58.5,27.63193,-97.20667
P2,11,2025-06-14 14:08:02.920,35.34,2025,6,14,14,8,2.92,27.63193,-97.20666
P2,12,2025-06-14 14:08:07.300,39.72,2025,6,14,14,8,7.3,27.63193,-97.20666
P3,13,2025-06-14 14:09:29.690,0.0,2025,6,14,14,9,29.69,27.63195,-97.20667
P3,14,2025-06-14 14:09:33.940,4.25,2025,6,14,14,9,33.94,27.63195,-97.20667
P3,15,2025-06-14 14:09:41.200,11.51,2025,6,14,14,9,41.2,27.63195,-97.20667
P3,16,2025-06-14 14:09:45.060,15.37,2025,6,14,14,9,45.06,27.63195,-97.20667
P3,17,2025-06-14 14:09:48.240,18.55,2025,6,14,14,9,48.24,27.63195,-97.20667
P3,18,2025-06-14 14:09:57.370,27.68,2025,6,14,14,9,57.37,27.63195,-97.20667
P4,19,2025-06-14 14:10:47.180,0.0,2025,6,14,14,10,47.18,27.63197,-97.20668
P4,20,2025-06-14 14:11:06.860,19.68,2025,6,14,14,11,6.86,27.63197,-97.20669
P4,21,2025-06-14 14:11:10.680,23.5,2025,6,14,14,11,10.68,27.63197,-97.20669
P4,22,2025-06-14 14:11:18.080,30.9,2025,6,14,14,11,18.08,27.63197,-97.2067
P4,23,2025-06-14 14:11:24.730,37.55,2025,6,14,14,11,24.73,27.63197,-97.2067
P4,24,2025-06-14 14:11:28.870,41.69,2025,6,14,14,11,28.87,27.63197,-97.2067
P5,25,2025-06-14 14:11:59.630,0.0,2025,6,14,14,11,59.63,27.63199,-97.20671
P5,26,2025-06-14 14:12:09.990,10.36,2025,6,14,14,12,9.99,27.63199,-97.20671
P5,27,2025-06-14 14:12:16.920,17.29,2025,6,14,14,12,16.92,27.63199,-97.20671
P5,28,2025-06-14 14:12:23.570,23.94,2025,6,14,14,12,23.57,27.63199,-97.20671
P5,29,2025-06-14 14:12:39.700,40.07,2025,6,14,14,12,39.7,27.63199,-97.20671
P5,30,2025-06-14 14:12:45.300,45.67,2025,6,14,14,12,45.3,27.63199,-97.20671
P6,31,2025-06-14 14:13:22.580,0.0,2025,6,14,14,13,22.58,27.632,-97.20672
P6,32,2025-06-14 14:13:26.930,4.35,2025,6,14,14,13,26.93,27.632,-97.20673
P6,33,2025-06-14 14:13:30.320,7.74,2025,6,14,14,13,30.32,27.632,-97.20673
P6,34,2025-06-14 14:13:38.700,16.12,2025,6,14,14,13,38.7,27.63201,-97.20673
P6,35,2025-06-14 14:13:42.200,19.62,2025,6,14,14,13,42.2,27.63201,-97.20673
P6,36,2025-06-14 14:13:45.710,23.13,2025,6,14,14,13,45.71,27.63201,-97.20673
P7,37,2025-06-14 14:14:21.320,0.0,2025,6,14,14,14,21.32,27.63202,-97.20674
P7,38,2025-06-14 14:14:25.120,3.8,2025,6,14,14,14,25.12,27.63202,-97.20674
P7,39,2025-06-14 14:14:28.180,6.86,2025,6,14,14,14,28.18,27.63202,-97.20675
P7,40,2025-06-14 14:14:32.220,10.9,2025,6,14,14,14,32.22,27.63203,-97.20675
P7,41,2025-06-14 14:14:35.440,14.12,2025,6,14,14,14,35.44,27.63203,-97.20675
P7,42,2025-06-14 14:14:43.030,21.71,2025,6,14,14,14,43.03,27.63203,-97.20675
P8,43,2025-06-14 14:15:12.060,0.0,2025,6,14,14,15,12.06,27.63204,-97.20676
P8,44,2025-06-14 14:15:25.230,13.17,2025,6,14,14,15,25.23,27.63205,-97.20677
P8,45,2025-06-14 14:15:29.570,17.51,2025,6,14,14,15,29.57,27.63205,-97.20677
P8,46,2025-06-14 14:15:32.900,20.84,2025,6,14,14,15,32.9,27.63205,-97.20677
P8,47,2025-06-14 14:15:36.900,24.84,2025,6,14,14,15,36.9,27.63205,-97.20677
P8,48,2025-06-14 14:15:41.200,29.14,2025,6,14,14,15,41.2,27.63205,-97.20677
P9,49,2025-06-14 14:16:12.120,0.0,2025,6,14,14,16,12.12,27.63207,-97.20678
P9,50,2025-06-14 14:16:23.970,11.85,2025,6,14,14,16,23.97,27.63208,-97.20679
P9,51,2025-06-14 14:16:32.390,20.27,2025,6,14,14,16,32.39,27.63208,-97.20679
P9,52,2025-06-14 14:16:35.580,23.46,2025,6,14,14,16,35.58,27.63208,-97.20679
P9,53,2025-06-14 14:16:39.930,27.81,2025,6,14,14,16,39.93,27.63208,-97.2068
P9,54,2025-06-14 14:16:44.310,32.19,2025,6,14,14,16,44.31,27.63208,-97.2068
P10,55,2025-06-14 14:17:31.270,0.0,2025,6,14,14,17,31.27,27.6321,-97.20681
P10,56,2025-06-14 14:17:46.050,14.78,2025,6,14,14,17,46.05,27.6321,-97.20681
P10,57,2025-06-14 14:17:50.400,19.13,2025,6,14,14,17,50.4,27.6321,-97.20681
P10,58,2025-06-14 14:17:55.070,23.8,2025,6,14,14,17,55.07,27.6321,-97.20681
P10,59,2025-06-14 14:17:58.880,27.61,2025,6,14,14,17,58.88,27.6321,-97.20681
P10,60,2025-06-14 14:18:02.700,31.43,2025,6,14,14,18,2.7,27.6321,-97.20681
P11,61,2025-06-14 14:18:37.910,0.0,2025,6,14,14,18,37.91,27.63212,-97.20682
P11,62,2025-06-14 14:18:41.970,4.06,2025,6,14,14,18,41.97,27.63212,-97.20682
P11,63,2025-06-14 14:18:45.810,7.9,2025,6,14,14,18,45.81,27.63212,-97.20682
P11,64,2025-06-14 14:18:49.170,11.26,2025,6,14,14,18,49.17,27.63212,-97.20682
P11,65,2025-06-14 14:18:52.860,14.95,2025,6,14,14,18,52.86,27.63212,-97.20682
P11,66,2025-06-14 14:19:00.630,22.72,2025,6,14,14,19,0.63,27.63213,-97.20682
P12,67,2025-06-14 14:19:25.120,0.0,2025,6,14,14,19,25.12,27.63214,-97.20683
P12,68,2025-06-14 14:19:32.240,7.12,2025,6,14,14,19,32.24,27.63214,-97.20683
P12,69,2025-06-14 14:19:36.450,11.33,2025,6,14,14,19,36.45,27.63215,-97.20684
P12,70,2025-06-14 14:19:40.540,15.42,2025,6,14,14,19,40.54,27.63215,-97.20684
P12,71,2025-06-14 14:19:44.200,19.08,2025,6,14,14,19,44.2,27.63215,-97.20684
P12,72,2025-06-14 14:19:48.780,23.66,2025,6,14,14,19,48.78,27.63215,-97.20684
P13,73,2025-06-14 14:20:17.050,0.0,2025,6,14,14,20,17.05,27.63216,-97.20685
P13,74,2025-06-14 14:20:24.120,7.07,2025,6,14,14,20,24.12,27.63216,-97.20685
P13,75,2025-06-14 14:20:31.650,14.6,2025,6,14,14,20,31.65,27.63216,-97.20685
P13,76,2025-06-14 14:20:35.510,18.46,2025,6,14,14,20,35.51,27.63217,-97.20685
P13,77,2025-06-14 14:20:39.830,22.78,2025,6,14,14,20,39.83,27.63217,-97.20685
P13,78,2025-06-14 14:20:43.020,25.97,2025,6,14,14,20,43.02,27.63217,-97.20685
P14,79,2025-06-14 14:25:27.270,0.0,2025,6,14,14,25,27.27,27.63218,-97.20689
P14,80,2025-06-14 14:26:06.720,39.45,2025,6,14,14,26,6.72,27.63218,-97.20688
P14,81,2025-06-14 14:26:11.190,43.92,2025,6,14,14,26,11.19,27.63218,-97.20688
P14,82,2025-06-14 14:26:18.780,51.51,2025,6,14,14,26,18.78,27.63218,-97.20688
P14,83,2025-06-14 14:26:24.230,56.96,2025,6,14,14,26,24.23,27.63218,-97.20688
P14,84,2025-06-14 14:26:28.850,61.58,2025,6,14,14,26,28.85,27.63218,-97.20688
P15,85,2025-06-14 14:28:42.160,0.0,2025,6,14,14,28,42.16,27.63221,-97.2069
P15,86,2025-06-14 14:28:48.360,6.2,2025,6,14,14,28,48.36,27.63221,-97.2069
P15,87,2025-06-14 14:29:12.700,30.54,2025,6,14,14,29,12.7,27.63221,-97.2069
P15,88,2025-06-14 14:29:22.550,40.39,2025,6,14,14,29,22.55,27.6322,-97.20691
P15,89,2025-06-14 14:29:26.930,44.77,2025,6,14,14,29,26.93,27.6322,-97.20691
P15,90,2025-06-14 14:29:32.340,50.18,2025,6,14,14,29,32.34,27.6322,-97.20691
P16,91,2025-06-14 14:31:57.950,0.0,2025,6,14,14,31,57.95,27.63223,-97.20692
P16,92,2025-06-14 14:32:09.440,11.49,2025,6,14,14,32,9.44,27.63223,-97.20692
P16,93,2025-06-14 14:32:13.080,15.13,2025,6,14,14,32,13.08,27.63223,-97.20692
P16,94,2025-06-14 14:32:16.270,18.32,2025,6,14,14,32,16.27,27.63223,-97.20692
P16,95,2025-06-14 14:32:24.030,26.08,2025,6,14,14,32,24.03,27.63223,-97.20692
P16,96,2025-06-14 14:32:27.400,29.45,2025,6,14,14,32,27.4,27.63223,-97.20692
S1_N,97,2025-06-14 14:44:08.770,0.0,2025,6,14,14,44,8.77,27.6319,-97.20665
S1_N,98,2025-06-14 14:44:14.180,5.41,2025,6,14,14,44,14.18,27.6319,-97.20665
S1_N,99,2025-06-14 14:44:17.930,9.16,2025,6,14,14,44,17.93,27.6319,-97.20664
S1_N,100,2025-06-14 14:44:22.290,13.52,2025,6,14,14,44,22.29,27.6319,-97.20664
S1_N,101,2025-06-14 14:44:26.210,17.44,2025,6,14,14,44,26.21,27.6319,-97.20664
S1_N,102,2025-06-14 14:44:29.340,20.57,2025,6,14,14,44,29.34,27.6319,-97.20664
S1_S,103,2025-06-14 14:44:47.620,0.0,2025,6,14,14,44,47.62,27.6319,-97.20664
S1_S,104,2025-06-14 14:44:52.100,4.48,2025,6,14,14,44,52.1,27.6319,-97.20664
S1_S,105,2025-06-14 14:44:55.590,7.97,2025,6,14,14,44,55.59,27.6319,-97.20664
S1_S,106,2025-06-14 14:44:59.210,11.59,2025,6,14,14,44,59.21,27.6319,-97.20664
S1_S,107,2025-06-14 14:45:03.980,16.36,2025,6,14,14,45,3.98,27.6319,-97.20664
S1_S,108,2025-06-14 14:45:08.120,20.5,2025,6,14,14,45,8.12,27.63192,-97.20665
