Receiver Number,x-coordinate (m),Node ID,Lat degree,Lat minute,Lat second,Long degree,Long minute,Long second
1,0,24311,27,37,916,97,12,397
2,1.5,25794,27,37,917,97,12,398
3,3,26107,27,37,917,97,12,399
4,4.5,26132,27,37,918,97,12,399
5,6,26226,27,37,919,97,12,400
6,7.5,26054,27,37,919,97,12,401
7,9,26228,27,37,920,97,12,401
8,10.5,25954,27,37,921,97,12,401
9,12,26165,27,37,921,97,12,402
10,13.5,24624,27,37,921,97,12,403
11,15,26100,27,37,923,97,12,403
12,16.5,24589,27,37,923,97,12,404
13,18,26198,27,37,924,97,12,404
14,19.5,25931,27,37,924,97,12,405
15,21,26207,27,37,925,97,12,406
16,22.5,26125,27,37,926,97,12,406
17,24,26073,27,37,927,97,12,406
18,25.5,26218,27,37,927,97,12,407
19,27,26176,27,37,927,97,12,408
20,28.5,26138,27,37,928,97,12,408
21,30,26205,27,37,928,97,12,410
22,31.5,24341,27,37,929,97,12,410
23,33,25161,27,37,930,97,12,410
24,34.5,24131,27,37,931,97,12,410
25,36,25770,27,37,931,97,12,411
26,37.5,26190,27,37,932,97,12,412
27,39,26185,27,37,933,97,12,412
28,40.5,26144,27,37,933,97,12,413
29,42,24638,27,37,933,97,12,414
30,43.5,25934,27,37,934,97,12,414
