shot_group,shot,time,time_from_group_lead,year,month,day,hour,minute,second,latitude,longitude
P1,1,2025-06-14 14:00:18.890000,0.0,2025,6,14,14,0,18.89,27.63189,-97.20664
P1,2,2025-06-14 14:00:49.290000,30.4,2025,6,14,14,0,49.29,27.63189,-97.20664
P1,3,2025-06-14 14:01:01.980000,43.09,2025,6,14,14,1,1.98,27.63189,-97.20664
P1,4,2025-06-14 14:01:16.580000,57.69,2025,6,14,14,1,16.58,27.63189,-97.20664
P1,5,2025-06-14 14:01:25.300000,66.41,2025,6,14,14,1,25.3,27.63189,-97.20665
P1,6,2025-06-14 14:01:35.510000,76.62,2025,6,14,14,1,35.51,27.63189,-97.20665
P2,7,2025-06-14 14:07:27.450000,0.0,2025,6,14,14,7,27.45,27.63192,-97.20667
P2,8,2025-06-14 14:07:33.960000,6.51,2025,6,14,14,7,33.96,27.63192,-97.20667
P2,9,2025-06-14 14:07:37.730000,10.28,2025,6,14,14,7,37.73,27.63192,-97.20667
P2,10,2025-06-14 14:07:57.520000,30.07,2025,6,14,14,7,57.52,27.63193,-97.20667
P2,11,2025-06-14 14:08:02.050000,34.6,2025,6,14,14,8,2.05,27.63193,-97.20666
P2,12,2025-06-14 14:08:06.710000,39.26,2025,6,14,14,8,6.71,27.63193,-97.20666
P3,13,2025-06-14 14:09:28.790000,0.0,2025,6,14,14,9,28.79,27.63195,-97.20667
P3,14,2025-06-14 14:09:33.490000,4.7,2025,6,14,14,9,33.49,27.63195,-97.20667
P3,15,2025-06-14 14:09:40.390000,11.6,2025,6,14,14,9,40.39,27.63195,-97.20667
P3,16,2025-06-14 14:09:44.470000,15.68,2025,6,14,14,9,44.47,27.63195,-97.20667
P3,17,2025-06-14 14:09:48.230000,19.44,2025,6,14,14,9,48.23,27.63195,-97.20667
P3,18,2025-06-14 14:09:56.410000,27.62,2025,6,14,14,9,56.41,27.63195,-97.20667
P4,19,2025-06-14 14:10:46.480000,0.0,2025,6,14,14,10,46.48,27.63197,-97.20668
P4,20,2025-06-14 14:11:06.510000,20.03,2025,6,14,14,11,6.51,27.63197,-97.20669
P4,21,2025-06-14 14:11:10.100000,23.62,2025,6,14,14,11,10.1,27.63197,-97.20669
P4,22,2025-06-14 14:11:17.440000,30.96,2025,6,14,14,11,17.44,27.63197,-97.2067
P4,23,2025-06-14 14:11:24.090000,37.61,2025,6,14,14,11,24.09,27.63197,-97.2067
